timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1705668270056,14,HTTP Request-0,301,Moved Permanently,Assignment_2 8-6,text,true,,345,119,4,5,https://makemytrip.com/hotels/,14,0,0
1705668270070,1978,HTTP Request-1,200,OK,Assignment_2 8-6,text,true,,237310,127,4,5,https://www.makemytrip.com:443/hotels/,1884,0,0
1705668270057,2312,HTTP Request,200,OK,Assignment_2 8-7,text,true,,231117,262,4,5,https://www.makemytrip.com:443/holidays-india/,87,0,66
1705668270057,87,HTTP Request-0,301,Moved Permanently,Assignment_2 8-7,text,true,,353,127,4,5,https://makemytrip.com/holidays-india/,87,0,66
1705668270145,2224,HTTP Request-1,200,OK,Assignment_2 8-7,text,true,,230764,135,4,5,https://www.makemytrip.com:443/holidays-india/,2125,0,46
1705668270056,2324,HTTP Request,200,OK,Assignment_2 8-5,text,true,,231153,262,4,5,https://www.makemytrip.com:443/holidays-india/,14,0,0
1705668270056,14,HTTP Request-0,301,Moved Permanently,Assignment_2 8-5,text,true,,353,127,4,5,https://makemytrip.com/holidays-india/,14,0,0
1705668270070,2310,HTTP Request-1,200,OK,Assignment_2 8-5,text,true,,230800,135,4,5,https://www.makemytrip.com:443/holidays-india/,2287,0,0
1705668276057,1827,HTTP Request,200,OK,Assignment_2 8-7,text,true,,244964,252,4,6,https://www.makemytrip.com:443/homestays/,13,0,0
1705668276057,13,HTTP Request-0,301,Moved Permanently,Assignment_2 8-7,text,true,,348,122,4,6,https://makemytrip.com/homestays/,13,0,0
1705668276071,1813,HTTP Request-1,200,OK,Assignment_2 8-7,text,true,,244616,130,4,6,https://www.makemytrip.com:443/homestays/,1778,0,0
1705668276057,1892,HTTP Request,200,OK,Assignment_2 8-8,text,true,,244928,252,4,6,https://www.makemytrip.com:443/homestays/,66,0,51
1705668276057,66,HTTP Request-0,301,Moved Permanently,Assignment_2 8-8,text,true,,348,122,4,6,https://makemytrip.com/homestays/,66,0,51
1705668276124,1825,HTTP Request-1,200,OK,Assignment_2 8-8,text,true,,244580,130,4,6,https://www.makemytrip.com:443/homestays/,1783,0,46
1705668276057,2199,HTTP Request,200,OK,Assignment_2 8-6,text,true,,231153,262,4,6,https://www.makemytrip.com:443/holidays-india/,13,0,0
1705668276057,13,HTTP Request-0,301,Moved Permanently,Assignment_2 8-6,text,true,,353,127,4,6,https://makemytrip.com/holidays-india/,13,0,0
1705668276071,2185,HTTP Request-1,200,OK,Assignment_2 8-6,text,true,,230800,135,4,6,https://www.makemytrip.com:443/holidays-india/,2150,0,0
1705668276867,1909,HTTP Request,200,OK,Assignment_no3 9-4,text,true,,237653,246,2,5,https://www.makemytrip.com:443/hotels/,12,0,0
1705668276867,12,HTTP Request-0,301,Moved Permanently,Assignment_no3 9-4,text,true,,345,119,2,5,https://makemytrip.com/hotels/,12,0,0
1705668276879,1897,HTTP Request-1,200,OK,Assignment_no3 9-4,text,true,,237308,127,2,5,https://www.makemytrip.com:443/hotels/,1828,0,0
1705668282055,1799,HTTP Request,200,OK,Assignment_2 8-8,text,true,,237657,246,4,6,https://www.makemytrip.com:443/hotels/,20,0,0
